x,y,z,sx,sy,sz
38.08,-2.81,-168.31,373592.7283,51496.8058,431089.0018
42.52,-12.85,-170.48,415576.0118,130378.4332,446174.3130
47.47,-41.11,-175.27,483584.5529,257634.1000,479453.3726
44.58,-37.60,-168.25,468298.6803,242421.0814,458651.6485
37.96,-32.95,-170.39,424006.3206,215191.8794,455734.7355
45.19,-40.95,-174.58,471638.8654,256089.0446,476027.3129
38.59,-4.09,-167.86,379351.2858,64959.5022,431487.4510
57.87,23.32,-164.63,420704.8265,149975.4510,422820.5631
59.70,18.95,-165.11,441066.1446,150801.3754,428082.3449
57.05,32.47,-164.17,391296.9126,167940.8834,415202.0194
37.76,-0.42,-169.39,365940.1700,24017.9171,431347.8644
21.67,-16.06,-172.46,302097.2230,54194.9264,435314.1830
19.93,-24.93,-170.70,307747.0544,134693.9601,436645.6364
60.90,30.42,-164.18,417693.0980,179105.6892,419897.3581
59.64,33.31,-164.01,402852.4439,181560.8485,416600.9558
46.13,33.53,-140.19,348320.0498,37199.1313,376729.5892
42.25,-40.43,-171.48,457239.6664,252959.8873,466152.3131
25.83,-49.34,-177.19,370609.3090,285667.1152,473611.2397
23.23,-48.33,-177.76,353391.9764,278775.5200,472310.0968
25.45,-51.70,-177.50,370666.2374,297415.1870,475710.6552
29.76,-48.84,-176.65,393721.5469,285151.1641,474930.4962
48.15,23.84,-140.70,386649.0091,20481.1268,383722.3031
48.86,7.93,-139.30,430134.9646,43201.2197,391334.0663
24.84,-49.74,-177.04,365245.8312,287269.9486,472752.3554
55.79,6.41,-140.57,468957.0952,99517.3521,397305.2330
36.73,-44.30,-175.91,428611.3722,266745.9466,475285.9075
24.45,-47.48,-176.45,360826.0036,275538.3697,469455.0330
50.28,-3.91,-164.64,443950.3426,121900.7455,434273.6324
29.76,-46.84,-176.65,391410.0318,275199.7909,473559.8591
69.51,-1.02,-161.15,539165.5580,169612.7542,439742.8148
48.45,-33.06,-167.74,482800.8454,225733.6000,457451.1285
48.70,-28.92,-169.15,476744.7615,208867.0205,458253.4873
42.72,1.03,-169.10,390049.8525,70827.5346,433954.1466
50.75,-14.26,-167.29,464169.2566,156593.2703,446581.2958
48.55,-6.22,-166.11,438337.4449,123387.0592,437346.7262
52.08,-11.88,-166.90,467026.4034,151794.1702,445246.8709
51.17,13.03,-139.65,430546.1068,56988.9138,390507.3621
57.67,7.36,-140.52,476648.1242,107188.3039,397933.6951
25.50,-39.31,-168.71,362898.7362,235451.7704,446916.0167
41.02,0.84,-169.65,380809.9493,57963.3971,433771.9560
33.65,-42.52,-175.91,408991.1411,256437.4516,471792.9851
30.77,-48.79,-176.57,399605.7735,285380.5001,475444.1907
32.03,-43.30,-176.07,400595.4373,259169.3780,471468.6565
27.82,-35.46,-169.02,371253.6343,216796.1717,446746.2751
32.68,-12.72,-113.52,398919.2978,63481.2743,389870.5742
28.99,-37.80,-168.43,381594.5086,230844.5806,447930.2285
26.94,-37.70,-169.00,369116.4230,228036.8491,447551.7949
50.96,-9.05,-166.17,456369.9645,139841.7271,441119.8594
50.61,21.75,-140.74,405397.2064,57572.1545,386525.1888
25.64,-46.47,-176.92,366435.0090,270861.0927,470822.1484
31.30,-35.57,-174.67,387281.7958,219955.1017,462283.2458
47.35,-5.54,-165.88,430796.3425,116554.8088,435515.9449
45.74,-30.58,-164.62,466857.1057,213121.2612,447376.3977
36.25,-15.37,-113.02,423908.3874,106113.1994,392006.3387
30.99,-11.64,-113.28,387498.3451,28075.9685,389155.0288
12.91,-25.11,-171.18,263017.4735,111988.2366,431805.3180
32.41,-46.77,-176.36,406808.1145,276305.9426,474787.7497
33.22,-47.77,-176.40,412646.0990,281501.3358,476164.1435
38.76,1.98,-169.80,365904.1068,12078.7108,431352.6825
36.24,-37.51,-175.06,417487.5694,234376.1015,468326.0696
28.08,-18.74,-114.72,382011.6152,109941.5394,389467.9642
52.73,4.86,-139.97,456727.5115,85405.2600,395694.9483
23.75,-39.16,-169.47,351779.3834,232593.9365,447114.9943
54.86,-6.95,-121.39,503959.5149,116265.9644,393489.3473
49.28,-19.15,-137.59,485933.6868,165657.9573,402757.3493
32.28,-37.68,-175.18,395372.6591,231611.8342,465688.6633
52.06,-8.33,-166.34,460614.3912,140931.4534,441853.2196
47.86,-20.09,-135.33,481431.9304,167227.3718,400600.3151
48.86,-20.05,-130.48,489820.5402,167604.5705,397950.3334
52.21,32.00,-160.85,369368.1008,137157.3973,405569.3239
46.69,26.65,-144.92,367711.1527,27740.8231,384390.7795
50.89,4.66,-142.79,445484.5082,78952.0463,397207.8218
33.64,-17.37,-114.96,411514.9397,115255.2336,390758.9254
50.48,-9.22,-166.02,454343.5090,138952.6584,440554.7046
47.51,2.61,-143.00,431873.0051,63064.0318,396325.6792
34.52,-15.44,-115.58,412880.4395,101917.0731,390193.5083
47.99,-13.62,-166.96,448775.7002,147732.5599,443408.5526
11.37,-22.45,-170.62,248905.4151,73106.6561,427253.6105
62.54,4.50,-162.52,491285.4518,149808.2019,434226.1465
33.83,-16.81,-115.40,411440.0696,111339.9799,390455.5978
49.18,-34.23,-168.06,488183.1279,231051.6774,459381.7791
52.30,-7.18,-165.93,459983.0479,138239.8674,440474.2773
47.17,-8.80,-169.47,433485.6825,128973.9630,444986.0538
64.51,1.99,-163.12,506156.9878,157080.6131,438335.8410
65.80,2.59,-161.27,512897.4930,158922.8620,435323.7313
56.18,-10.46,-110.45,524124.6552,127487.2170,397567.4272
45.70,2.49,-142.44,422843.3974,45764.6711,394704.8259
65.43,3.45,-161.15,509287.1949,157536.3539,434349.0449
68.57,1.37,-161.21,529431.3210,166378.4089,437868.0336
29.32,-50.85,-176.89,393189.9898,294842.1756,476522.2246
52.02,-14.77,-164.00,474191.5879,160093.4038,441009.4685
51.08,-17.46,-143.72,488442.9371,162864.1826,409216.6829
47.33,-1.30,-162.86,424414.9817,100437.7586,426894.7066
56.96,10.68,-139.89,466095.4265,100134.1730,395397.5819
48.78,-20.93,-122.80,495625.2708,170143.2728,395697.3622
13.31,-27.96,-160.63,277703.0366,142885.1139,414132.3087
65.46,5.39,-160.75,505608.3129,156973.2488,432497.7553
67.53,5.70,-160.69,515429.7793,162823.0937,433703.7008
33.76,-14.58,-115.63,407065.3779,91066.0981,389657.2443
70.38,-0.40,-161.27,542154.7364,171298.5937,440233.3586
48.22,-19.51,-139.59,479593.0615,165988.7167,404202.5273
51.59,-10.50,-110.89,499789.2965,116715.7947,396226.3278
53.51,-11.34,-166.35,473885.4057,153378.8803,444835.7057
52.52,18.81,-140.47,423191.2650,71908.9773,389088.4528
46.70,-21.80,-124.81,484700.2951,171958.1051,395571.0508
49.08,-11.72,-168.61,449712.7218,144294.6434,446524.3913
50.87,48.42,-162.22,305063.0742,189378.9995,395104.1201
46.06,-6.22,-169.48,422545.9302,116003.5558,442405.9761
29.93,-18.31,-114.20,392296.8907,111804.2308,390224.9985
49.39,3.74,-143.35,439173.0493,72859.5974,397281.4988
55.32,-9.89,-110.51,518561.5208,122800.9060,397217.6754
49.07,-17.83,-150.89,473595.6589,162558.9543,417738.7809
71.26,-1.15,-161.86,547619.0131,173917.3964,442419.3257
53.29,-17.91,-129.81,509987.4906,164487.3358,398717.2500
49.71,-15.71,-166.31,462044.3905,159150.9427,444641.7888
48.37,-18.78,-144.68,475735.0563,163982.8475,409458.1872
48.75,30.03,-141.32,372361.0947,63127.5825,381225.0038
32.11,-16.90,-115.60,401681.2669,106604.4859,389819.1979
39.64,-1.02,-169.79,377209.2740,55996.9942,434206.0931
53.31,-15.32,-154.07,489147.9675,161653.0026,424048.5022
52.09,-18.60,-129.84,504832.2925,165698.5297,398477.3299
51.26,-16.80,-148.90,484651.8069,161866.4721,415664.8955
48.16,-9.85,-156.45,450444.9164,129934.9956,421412.9114
42.55,-13.77,-168.06,419262.4587,133860.6541,441621.8916
41.99,-18.14,-165.14,426229.6132,151803.4502,438009.2683
46.08,-14.48,-157.34,447319.8318,143578.3841,424181.6338
42.50,-17.75,-164.92,428440.7049,151164.8065,437709.1661
40.97,-16.47,-165.10,417841.2998,141360.7845,436083.0442
41.91,-17.24,-139.55,442034.2455,142257.0847,399680.5655
44.59,-13.75,-158.36,437329.4069,136804.7280,424460.0955
43.28,-17.58,-142.28,448214.6080,147822.3631,403250.6283
45.11,-14.46,-151.28,446433.7659,139242.0585,413929.7607
42.21,-19.11,-164.54,429505.6379,156719.3100,437594.6972
41.83,-17.12,-164.92,423742.1765,146618.5633,436790.1347
42.67,-20.94,-164.25,435280.1685,166038.1945,438498.5014
40.88,-14.49,-136.71,433515.0393,123070.6464,395547.4091
44.14,-16.48,-147.73,447207.5435,145478.6239,409544.2836
46.11,-12.64,-156.98,444411.6113,135652.7553,422505.7126
41.95,-19.93,-166.91,427770.5335,160178.4844,442757.6688
54.76,-8.91,-161.89,479085.7932,147631.4452,435307.1523
44.64,-14.83,-161.72,437080.4945,142637.9544,431232.5135
44.87,-16.41,-150.40,449169.3574,147503.4301,413588.0229
43.76,-17.77,-142.13,451177.6092,149741.4441,403459.2289
43.56,-14.26,-163.87,428718.2765,137827.5327,434206.3570
46.25,-10.89,-158.65,440689.7474,129312.4856,424423.9827
44.14,-19.28,-162.76,441445.8753,161321.9849,435609.2480
44.62,-16.74,-171.76,432883.1991,152874.1662,453267.7479
43.11,-16.95,-171.82,425170.4707,150164.3201,452370.1814
40.49,-19.00,-166.39,418702.9287,152550.9544,439972.3120
45.82,-14.20,-154.82,447255.7540,140964.3851,419655.4167
43.37,-12.88,-169.28,421123.4269,132794.9077,444268.6630
45.24,-12.24,-162.14,435289.5649,133316.5651,430858.1455
45.70,-14.54,-161.18,442634.6737,143986.5696,430825.6662
42.93,-15.65,-143.34,442268.8160,137201.7703,403196.9703
43.01,-17.04,-164.66,430154.5340,149091.9740,437127.8347
42.91,-32.37,-166.73,452841.5150,218085.3115,450948.2481
45.73,-17.98,-171.45,441201.3739,160333.7017,454260.0824
85.71,3.18,-154.98,615582.3200,196367.7223,436581.3680
28.93,-12.58,-113.40,377231.2714,27751.7081,388676.1290
56.20,52.97,-133.01,347149.1502,191050.7614,371370.9495
51.33,58.06,-141.93,289388.7411,201642.6700,367610.4832
77.00,28.04,-151.58,517551.0939,213831.7300,413079.9760
55.01,57.56,-138.20,317833.8749,212041.7448,369264.7743
26.39,-15.31,-128.03,358856.6143,68476.8175,384752.4242
73.97,30.40,-148.63,498526.5164,207626.7938,405811.8675
26.02,-14.77,-126.96,356352.7115,57585.1633,384241.4111
54.51,6.16,-140.14,463158.4069,92777.7600,396290.6610
73.03,31.41,-140.64,497455.8636,197936.6663,396247.6291
73.66,33.05,-145.66,492247.1224,210432.6152,400765.9071
30.20,65.59,-133.40,55963.8825,25494.5518,344561.0564
80.92,19.35,-149.44,560352.5259,202623.9377,416962.3533
83.44,15.04,-151.95,580830.7380,203217.3164,424400.0269
73.42,32.51,-140.91,496303.4956,202533.2424,396218.2261
58.49,47.66,-127.72,382988.4987,172751.9105,375275.9243
88.55,1.32,-161.27,628391.1915,204240.6435,451420.7501
50.16,67.31,-134.08,246386.9756,224738.9587,359633.5000
56.63,53.74,-134.72,345295.8568,198863.4566,371537.1963
38.66,-23.57,-165.67,416898.3746,171063.9116,440080.4368
57.39,52.19,-135.27,354811.8047,197080.2254,372962.2137
51.94,59.53,-141.71,287173.3011,210685.4599,367134.9483
75.65,28.73,-149.73,510450.9430,209644.3801,409245.8570
27.85,-11.54,-160.26,339392.2393,38779.0102,413703.0118
26.52,-15.60,-127.62,360296.9192,72834.3699,384890.7371
69.37,-4.66,-161.67,545358.2968,172476.6718,442673.4302
28.06,-10.60,-166.59,334157.9069,27553.1550,424738.7382
43.60,42.54,-139.10,304915.6301,58862.9148,369278.7588
26.69,-15.64,-126.25,362205.7153,73949.2523,384902.1538
26.57,-15.91,-125.69,362275.2364,76442.4433,384945.4173
27.10,-13.65,-140.79,352190.9648,55047.1590,390128.2878
46.32,25.92,-145.13,367512.3151,5736.4227,384713.6217
53.27,-7.28,-124.63,494176.4804,115454.8950,393243.9595
26.88,-15.57,-133.00,359146.8003,76268.5923,386399.8666
53.75,56.94,-143.11,307949.1081,210605.5639,370896.5229
25.31,-14.39,-121.97,354401.9354,41562.9349,384176.2774
25.84,-15.41,-122.07,359238.5601,64145.8791,384778.1886
25.99,-13.52,-129.97,352190.8408,34467.7514,384061.8863
25.97,-14.88,-120.35,360031.1436,55627.8256,385056.3955
27.48,-15.65,-136.68,360526.8080,81527.0214,388587.6465
28.22,-12.01,-158.25,343889.3138,49484.1038,410992.4134
46.55,70.55,-141.35,191058.2747,232270.9004,355638.9050
50.21,64.45,-143.48,250807.6167,226136.0043,363556.8715
24.53,-14.12,-115.16,353079.5012,10727.7021,386543.7862
26.03,-15.37,-125.10,358553.5059,65924.0602,384482.7210
47.34,-18.25,-171.28,450322.6717,164718.5077,455303.4219
28.57,-14.63,-151.47,355388.7030,80563.2268,402971.3593
45.27,-3.79,-168.41,414352.1422,103418.9717,437890.9875
61.98,39.72,-153.50,405467.2889,197688.8541,397952.8176
48.24,-33.76,-167.83,482643.3616,228467.4110,457936.9131
55.45,-10.65,-139.74,501779.2978,143788.7152,404203.4647
29.05,-13.00,-167.76,343465.5358,71754.5316,429594.4630
24.62,-12.58,-167.15,317432.3201,14448.1451,424369.3446
27.26,-11.69,-152.64,341655.4120,26748.9841,401755.5535
37.35,-22.17,-171.67,402986.1020,161425.9311,450979.5218
26.45,-16.66,-167.02,335623.9170,91523.8555,428551.7708
26.77,-14.39,-137.92,353395.2291,62067.0739,388276.1341
75.97,31.97,-155.14,499116.9038,225070.1689,415570.7859
68.75,38.28,-150.66,448104.6513,215288.1948,400395.2758
29.80,-16.89,-167.46,355004.9714,108217.6022,432347.9631
25.26,-14.02,-124.31,352120.6640,33601.8326,383628.9551
50.83,23.24,-140.73,402729.5617,63189.1717,385889.3965
31.94,-17.14,-167.85,367217.7149,117941.7151,435030.9843
26.01,-12.70,-135.69,347389.9747,11909.4909,385696.2111
35.47,-21.20,-172.76,390156.4983,152155.6109,451278.4931
42.52,40.37,-139.98,305252.7472,4594.5414,370066.3430
31.17,-15.21,-171.63,356596.4196,102201.3102,441022.4769
46.92,31.02,-139.15,361029.7422,27815.5040,378094.9292
42.84,-6.55,-170.24,405468.6940,104254.1114,441661.9407
44.04,37.97,-139.82,322496.0796,27321.2403,372512.6579
41.25,-25.25,-165.12,434041.3066,183524.0768,441929.9109
35.36,-18.99,-172.00,386429.7865,139998.2774,447969.4147
23.93,-13.12,-172.17,310463.2125,21992.7567,434469.0979
33.25,-22.68,-173.32,379863.0156,154918.7447,451784.3202
